Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
331.02, (48.411,-22.014), 331.02, 100.0, 330.71996173219895, -29.28, -29.28, -0.2445, 0.4361, 21.806, -12.227, -12.227
340.92, (50.051,-22.75), 340.9199, 100.0, 340.19994901890976, -20.88, -20.88, -0.1694, 0.4704, 23.522, -8.4684, -8.4684
339.96, (51.941,-23.406), 339.9599, 100.0, 340.25993845302224, -19.08, -19.08, -0.1689, 0.4706, 23.5309, -8.4438, -8.4438
330.78, (53.745,-24.263), 330.7799, 100.0, 330.77991849729483, -29.22, -29.22, -0.2441, 0.4364, 21.8188, -12.2041, -12.2041
336.42, (55.416,-25.138), 336.4199, 100.0, 336.05990219398683, -24.96, -24.96, -0.1672, 0.3766, 18.8278, -8.3591, -8.3591
346.44, (56.511,-25.514), 346.4399, 100.0, 345.71988720599325, -15.36, -15.36, -0.0619, 0.2432, 12.1622, -3.0956, -3.0956
356.88, (57.119,-25.615), 356.8799, 100.0, 356.15987052085626, -4.98, -4.98, -0.0052, 0.0768, 3.8414, -0.2578, -0.2578
6.78, (57.17,-25.617), 6.7799, 100.0, 6.059857641822318, 0, 0, 0, 0, 0, 0, 0
16.98, (57.17,-25.617), 16.9798, 100.0, 16.619841526862597, 0, 0, 0, 0, 0, 0, 0
27.54, (57.17,-25.617), 27.5398, 100.0, 27.17982481422466, 0, 0, 0, 0, 0, 0, 0
37.44, (57.17,-25.617), 37.4398, 100.0, 36.71981617730578, 0, 0, 0, 0, 0, 0, 0
47.76, (57.17,-25.617), 47.7598, 100.0, 47.33980761266508, 0, 0, 0, 0, 0, 0, 0
57.66, (57.17,-25.617), 57.6598, 100.0, 57.299792452424136, 0, 0, 0, 0, 0, 0, 0
68.04, (57.17,-25.617), 68.0398, 100.0, 67.67977174081399, 0, 0, 0, 0, 0, 0, 0
77.4, (57.196,-25.516), 77.3998, 100.0, 76.6197569636946, 75.84, 75.84, 0.0866, 0.0206, 1.0298, 4.3292, 4.3292
87.9, (57.282,-24.767), 87.8997, 100.0, 87.5397335955317, 86.52, 86.52, 0.2708, 0.0116, 0.5816, 13.5375, 13.5375
98.04, (57.208,-23.474), 98.0397, 100.0, 97.31972671311489, 96.24, 96.24, 0.4305, -0.0553, -2.7648, 21.5231, 21.5231
108, (56.763,-21.565), 107.9997, 100.0, 107.69970992970454, 106.68, 106.68, 0.4763, -0.152, -7.6008, 23.8165, 23.8165
118.32, (56.054,-19.913), 118.3197, 100.0, 117.53969057582403, 116.52, 116.52, 0.4433, -0.2312, -11.5592, 22.1672, 22.1672
128.58, (54.959,-18.243), 128.5797, 100.0, 127.91966454575224, 126.84, 126.84, 0.3944, -0.3073, -15.364, 19.7217, 19.7217
138.72, (53.574,-16.804), 138.7196, 100.0, 138.71964791513577, 137.7, 137.7, 0.3299, -0.3757, -18.7874, 16.4935, 16.4935
149.04, (52.118,-15.749), 149.0396, 100.0, 148.61963129661655, 147.3, 147.3, 0.2604, -0.4269, -21.3433, 13.0178, 13.0178
159.24, (50.319,-14.882), 159.2396, 100.0, 157.67961388616794, 156.96, 156.96, 0.1899, -0.4625, -23.1269, 9.4945, 9.4945
161.88, (48.611,-14.315), 161.8796, 100.0, 161.8795907930253, 161.88, 161.88, 0.1555, -0.4752, -23.7602, 7.7752, 7.7752
