Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
330.9, (61.321,-15.952), 329.3403, 100.0, 329.3403010454462, -29.1, -29.1, -0.2432, 0.4369, 21.8443, -12.1584, -12.1584
338.4, (62.931,-16.753), 336.8403, 100.0, 335.76029046297595, -23.7, -23.7, -0.1928, 0.4613, 23.0668, -9.6396, -9.6396
339.6, (64.816,-17.422), 338.0403, 100.0, 338.7602721893081, -19.02, -19.02, -0.1684, 0.4708, 23.5397, -8.4192, -8.4192
330.78, (66.62,-18.279), 329.2203, 100.0, 329.22025203855094, -29.22, -29.22, -0.2441, 0.4364, 21.8188, -12.2041, -12.2041
332.34, (68.369,-19.25), 330.7802, 100.0, 330.780235099828, -28.86, -28.86, -0.2321, 0.4429, 22.1429, -11.6056, -11.6056
341.04, (70.03,-19.938), 339.4802, 100.0, 339.480220028706, -19.32, -19.32, -0.1625, 0.4729, 23.6436, -8.1227, -8.1227
342.42, (71.922,-20.587), 340.8602, 100.0, 339.8402048816683, -18.96, -18.96, -0.1595, 0.4739, 23.6942, -7.974, -7.974
351.12, (73.673,-20.992), 349.5602, 100.0, 349.5601908063341, -9.54, -9.54, -0.0772, 0.494, 24.7003, -3.8591, -3.8591
347.34, (76.434,-21.453), 345.7802, 100.0, 345.78016282461823, -11.52, -11.52, -0.1096, 0.4878, 24.3922, -5.4791, -5.4791
340.92, (78.152,-21.989), 339.3601, 100.0, 339.36014596067264, -19.08, -19.08, -0.1634, 0.4725, 23.6266, -8.1722, -8.1722
340.92, (80.042,-22.643), 339.3601, 100.0, 339.36012878766, -19.08, -19.08, -0.1634, 0.4725, 23.6266, -8.1722, -8.1722
342, (81.933,-23.293), 340.4401, 100.0, 340.44010891058804, -19.08, -19.08, -0.1545, 0.4755, 23.7764, -7.7254, -7.7254
351.12, (83.687,-23.689), 349.5601, 100.0, 349.5600923565881, -9.66, -9.66, -0.0772, 0.494, 24.7003, -3.8591, -3.8591
0.84, (85.678,-23.848), 359.2801, 100.0, 358.5600708005689, -1.02, -1.02, 0.001, 0.5, 24.9999, 0.0524, 0.0524
1.14, (87.678,-23.808), 359.5801, 100.0, 359.5800564099611, 1.14, 1.14, 0.0099, 0.4999, 24.9951, 0.4974, 0.4974
5.88, (89.476,-23.74), 4.32, 100.0, 3.600041298475241, 4.02, 4.02, 0.045, 0.498, 24.8987, 2.2484, 2.2484
11.28, (91.446,-23.401), 9.72, 100.0, 9.720026738248839, 11.28, 11.28, 0.0978, 0.4903, 24.5171, 4.8901, 4.8901
11.28, (93.407,-23.01), 9.72, 100.0, 9.720011256073091, 11.28, 11.28, 0.0978, 0.4903, 24.5171, 4.8901, 4.8901
11.28, (95.369,-22.618), 9.72, 100.0, 9.719992705014521, 11.28, 11.28, 0.0978, 0.4903, 24.5171, 4.8901, 4.8901
11.28, (97.134,-22.266), 9.72, 100.0, 9.719974416786405, 11.28, 11.28, 0.0978, 0.4903, 24.5171, 4.8901, 4.8901
15.6, (98.894,-21.889), 14.04, 100.0, 13.07995050912179, 13.62, 13.62, 0.1264, 0.4838, 24.1883, 6.3186, 6.3186
21.36, (100.777,-21.221), 19.7999, 100.0, 19.799930700459658, 21.36, 21.36, 0.1821, 0.4657, 23.2828, 9.1057, 9.1057
15.06, (102.664,-20.56), 13.4999, 100.0, 13.799917110137317, 16.44, 16.44, 0.1324, 0.4821, 24.107, 6.6221, 6.6221
12.6, (104.62,-20.148), 11.0399, 100.0, 10.619901016447518, 11.34, 11.34, 0.1055, 0.4887, 24.4372, 5.2746, 5.2746
21.3, (106.523,-19.538), 19.7399, 100.0, 19.73988849792319, 21.3, 21.3, 0.1816, 0.4658, 23.2923, 9.0813, 9.0813
31.02, (108.141,-18.755), 29.4599, 100.0, 28.259876318469413, 29.04, 29.04, 0.2486, 0.4338, 21.6898, 12.4319, 12.4319
29.94, (109.849,-17.715), 28.3799, 100.0, 29.159857428148953, 31.44, 31.44, 0.2554, 0.4298, 21.4919, 12.7711, 12.7711
21.36, (111.662,-16.876), 19.7998, 100.0, 19.79984688901122, 21.36, 21.36, 0.1821, 0.4657, 23.2828, 9.1057, 9.1057
20.28, (113.526,-16.15), 18.7198, 100.0, 19.07982722433682, 21.36, 21.36, 0.1762, 0.4679, 23.3953, 8.8124, 8.8124
11.04, (115.261,-15.677), 9.4798, 100.0, 9.4798099970557, 12.12, 12.12, 0.0957, 0.4907, 24.5373, 4.7874, 4.7874
16.14, (117.214,-15.251), 14.5798, 100.0, 14.099791909916568, 14.7, 14.7, 0.135, 0.4814, 24.072, 6.7482, 6.7482
21.3, (119.092,-14.565), 19.7398, 100.0, 19.739774945245152, 21.3, 21.3, 0.1816, 0.4658, 23.2923, 9.0813, 9.0813
25.68, (120.758,-13.885), 24.1198, 100.0, 23.399754509116775, 23.94, 23.94, 0.211, 0.4533, 22.6651, 10.5496, 10.5496
31.38, (122.496,-12.898), 29.8197, 100.0, 29.819734540077008, 31.38, 31.38, 0.2604, 0.4269, 21.3433, 13.0178, 13.0178
23.76, (124.256,-11.953), 22.1997, 100.0, 22.199717423515672, 24.78, 24.78, 0.2015, 0.4576, 22.881, 10.0727, 10.0727
21.36, (126.117,-11.219), 19.7997, 100.0, 19.79970112768069, 21.36, 21.36, 0.1821, 0.4657, 23.2828, 9.1057, 9.1057
28.86, (127.757,-10.483), 27.2997, 100.0, 26.57968389549151, 27.12, 27.12, 0.2358, 0.4409, 22.0449, 11.7907, 11.7907
38.34, (129.426,-9.384), 36.7797, 100.0, 36.419665268675836, 36.84, 36.84, 0.3077, 0.3941, 19.7056, 15.3847, 15.3847
41.58, (130.783,-8.203), 40.0197, 100.0, 40.01965357960398, 41.58, 41.58, 0.3318, 0.374, 18.7007, 16.5916, 16.5916
41.58, (132.28,-6.875), 40.0196, 100.0, 40.0196376523224, 41.58, 41.58, 0.3318, 0.374, 18.7007, 16.5916, 16.5916
